Index,Title,Year,Rating,User_Rating_Count,tmdb_id,imdb_id
1,The Shawshank Redemption,1994,9.3,3.1M,278,tt0111161
2,Interstellar,2014,8.7,2.4M,157336,tt0816692
3,12 Angry Men,1957,9.0,964K,389,tt0050083
4,Avengers: Endgame,2019,8.4,1.4M,299534,tt4154796
5,"The Good, the Bad and the Ugly",1966,8.8,879K,429,tt0060196
6,12th Fail,2023,8.7,164K,1163258,tt23849204
7,The Breakfast Club,1985,7.8,467K,2108,tt0088847
8,The Incredibles,2004,8.0,883K,9806,tt0317705
9,Bridge of Spies,2015,7.6,341K,296098,tt3682448
10,The Fault in Our Stars,2014,7.6,421K,222935,tt2582846
11,Cinderella,2015,6.9,203K,150689,tt1661199
12,Insidious: Chapter 3,2015,6.1,127K,280092,tt3195644
13,Paper Towns,2015,6.2,111K,286565,tt3622592
14,Pulp Fiction,1994,8.8,2.4M,680,tt0110912
15,It's a Wonderful Life,1946,8.6,544K,1585,tt0038650
16,The Godfather,1972,9.2,2.2M,238,tt0068646
17,The Dark Knight,2008,9.1,3.1M,155,tt0468569
18,The Silence of the Lambs,1991,8.6,1.7M,274,tt0102926
19,Inception,2010,8.8,2.8M,27205,tt1375666
20,The Usual Suspects,1995,8.5,1.2M,629,tt0114814
21,Inglourious Basterds,2009,8.4,1.7M,16869,tt0361748
22,Se7en,1995,8.6,2M,807,tt0114369
23,Parasite,2019,8.5,1.1M,496243,tt6751668
24,Dune: Part Two,2024,8.4,697K,693134,tt15239678
25,No Country for Old Men,2007,8.2,1.2M,6977,tt0477348
26,Fight Club,1999,8.8,2.5M,550,tt0137523
27,The Matrix,1999,8.7,2.2M,603,tt0133093
28,Schindler's List,1993,9.0,1.6M,424,tt0108052
29,Django Unchained,2012,8.5,1.8M,68718,tt1853728
30,Forrest Gump,1994,8.8,2.4M,13,tt0109830
31,Goodfellas,1990,8.7,1.4M,769,tt0099685
32,The Green Mile,1999,8.6,1.5M,497,tt0120689
33,Gladiator,2000,8.5,1.8M,98,tt0172495
34,Eternal Sunshine of the Spotless Mind,2004,8.3,1.2M,38,tt0338013
35,Gone Girl,2014,8.1,1.1M,210577,tt2267998
